winrar	27	15	22	0.5555555555555556	0.8148148148148148
maven	2853	2064	2557	0.7234490010515248	0.8962495618647038
send-on-behalf-of	3	2	2	0.6666666666666666	0.6666666666666666
html5-video	403	201	250	0.4987593052109181	0.6203473945409429
traversing	101	33	11	0.32673267326732675	0.10891089108910891
shared-directory	3	1	1	0.3333333333333333	0.3333333333333333
gruber	4	4	2	1.0	0.5
django-custom-tags	4	1	3	0.25	0.75
system-tray	157	81	113	0.5159235668789809	0.7197452229299363
fontmetrics	23	8	14	0.34782608695652173	0.6086956521739131
jsunit	16	11	14	0.6875	0.875
selectonemenu	32	24	27	0.75	0.84375
ado.net-data-services	159	60	76	0.37735849056603776	0.4779874213836478
text-replacement	20	2	4	0.1	0.2
devexpress	983	433	590	0.4404883011190234	0.6002034587995931
physx	16	10	13	0.625	0.8125
post-build	21	16	18	0.7619047619047619	0.8571428571428571
highrise	10	9	10	0.9	1.0
timed	17	12	3	0.7058823529411765	0.17647058823529413
waitforsingleobject	17	7	15	0.4117647058823529	0.8823529411764706
pdostatement	7	5	7	0.7142857142857143	1.0
tcpdf	161	132	139	0.8198757763975155	0.8633540372670807
ftp4j	3	2	2	0.6666666666666666	0.6666666666666666
projection-matrix	13	4	12	0.3076923076923077	0.9230769230769231
webdynpro	10	5	7	0.5	0.7
subtype	20	8	12	0.4	0.6
coin-change	8	4	6	0.5	0.75
visualvm	91	66	81	0.7252747252747253	0.8901098901098901
commons-beanutils	14	3	8	0.21428571428571427	0.5714285714285714
html-indentation	1	1	1	1.0	1.0
initializecomponent	14	7	12	0.5	0.8571428571428571
lidgren	4	4	3	1.0	0.75
git-subtree	8	5	7	0.625	0.875
drawing	1301	530	674	0.40737893927747887	0.5180630284396618
toolstripdropdown	11	8	8	0.7272727272727273	0.7272727272727273
horizontal-accordion	9	5	6	0.5555555555555556	0.6666666666666666
universalindent	1	1	1	1.0	1.0
like-operator	95	27	24	0.28421052631578947	0.25263157894736843
timer	2005	1265	1683	0.6309226932668329	0.8394014962593517
helix	3	2	3	0.6666666666666666	1.0
isbn	27	20	24	0.7407407407407407	0.8888888888888888
fortran77	51	8	6	0.1568627450980392	0.11764705882352941
d	421	381	421	0.9049881235154394	1.0
windows-controls	6	1	1	0.16666666666666666	0.16666666666666666
hobbitmon	4	0	2	0.0	0.5
symbolicate	15	10	12	0.6666666666666666	0.8
c	39098	33713	38961	0.8622691697785053	0.9964959844493324
data-layer	2	0	0	0.0	0.0
a	6	6	6	1.0	1.0
m	11	11	11	1.0	1.0
j	48	45	45	0.9375	0.9375
k	10	6	10	0.6	1.0
s	5	5	5	1.0	1.0
r	6325	6103	6323	0.964901185770751	0.9996837944664032
isam	10	9	10	0.9	1.0
p	27	26	27	0.9629629629629629	1.0
taylor-series	11	5	6	0.45454545454545453	0.5454545454545454
rubiks-cube	11	0	1	0.0	0.09090909090909091
master-process	1	1	1	1.0	1.0
firebug	975	600	889	0.6153846153846154	0.9117948717948718
apache-regexp	13	0	3	0.0	0.23076923076923078
consumption	10	7	5	0.7	0.5
login-system	9	5	6	0.5555555555555556	0.6666666666666666
binaryreader	34	19	27	0.5588235294117647	0.7941176470588235
